id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
starknet,0.120163,432410172,9.267,0.12075,0.109038,4.41,0.097027,03-07-2025 00-49-17
morpho,1.39,431213720,7.55041,1.39,1.27,4.17,0.713151,03-07-2025 00-49-17
dexe,7.43,424133169,1.56611,7.47,7.31,32.38,0.671563,03-07-2025 00-49-17
helium,2.3,423313519,5.02489,2.37,2.16,54.88,0.113248,03-07-2025 00-49-17
mog-coin,1.08e-06,420627988,16.56773,1.08e-06,9.00684e-07,4.02e-06,4.526e-09,03-07-2025 00-49-17
reserve-rights-token,0.00719543,416745391,10.03155,0.00726881,0.00652089,0.117424,0.00121354,03-07-2025 00-49-17
venom,0.198254,413372964,5.10108,0.200285,0.188217,0.782403,0.03459851,03-07-2025 00-49-17
hashnote-usyc,1.091,409845980,0.008,1.091,1.091,1.12,1.026,03-07-2025 00-49-17
compound-governance-token,43.4,407604800,2.77156,43.96,41.29,910.54,25.74,03-07-2025 00-49-17
dydx-chain,0.543249,407526016,9.4598,0.544093,0.494573,4.52,0.418236,03-07-2025 00-49-17
usdb,1.002,407393577,0.57183,1.016,0.992419,1.088,0.882623,03-07-2025 00-49-17
neo,5.72,403977243,9.35781,5.73,5.21,198.38,0.078349,03-07-2025 00-49-17
elrond-erd-2,14.14,401598969,9.1453,14.24,12.88,545.64,6.51,03-07-2025 00-49-17
ket,0.400303,400302747,7.09648,0.407277,0.373104,0.61664,0.0085598,03-07-2025 00-49-17
stader-ethx,2741.67,398603347,6.65125,2746.64,2544.38,4275.3,1474.49,03-07-2025 00-49-17
conflux-token,0.077889,397022594,5.86593,0.078607,0.072588,1.7,0.02199898,03-07-2025 00-49-17
build-on,0.392234,393167377,13.21206,0.394323,0.346435,0.461593,0.175498,03-07-2025 00-49-17
kaito,1.63,392923813,4.09711,1.72,1.53,2.88,0.674693,03-07-2025 00-49-17
ether-fi-staked-eth,2573.38,390411796,6.43933,2586.5,2379.76,5307.23,1394.71,03-07-2025 00-49-17
axie-infinity,2.35,387976945,9.58572,2.35,2.12,164.9,0.123718,03-07-2025 00-49-17
ether-fi,1.016,380332729,12.5961,1.02,0.888851,8.53,0.40432,03-07-2025 00-49-17
aioz-network,0.321006,379895980,7.85053,0.324774,0.292948,2.65,0.01099588,03-07-2025 00-49-17
ecash,1.896e-05,377023350,4.69949,1.906e-05,1.791e-05,0.00038001,1.604e-05,03-07-2025 00-49-17
eigenlayer,1.21,376620344,14.10153,1.22,1.054,5.65,0.668501,03-07-2025 00-49-17
telcoin,0.00404466,371668426,4.64325,0.00405597,0.00379172,0.064483,6.474e-05,03-07-2025 00-49-17
mantle-bridged-usdt-mantle,1.001,370848385,0.3579,1.008,0.994188,1.26,0.869914,03-07-2025 00-49-17
deep,0.146156,365306524,12.33248,0.146993,0.129647,0.341085,0.01073218,03-07-2025 00-49-17
coinbase-wrapped-staked-eth,2840.61,359248993,6.45857,2844.87,2636.73,4434.57,1036.96,03-07-2025 00-49-17
chiliz,0.03671075,355921773,8.13272,0.03697074,0.03366534,0.878633,0.00410887,03-07-2025 00-49-17
eos,0.498771,354975060,4.82652,0.501162,0.474311,22.71,0.402746,03-07-2025 00-49-17
arweave,5.39,353204301,8.8561,5.41,4.95,89.24,0.298788,03-07-2025 00-49-17
ether-fi-staked-btc,109285.0,349843746,4.04174,110046.0,103912.0,112644.0,58795.0,03-07-2025 00-49-17
zksync,0.04859628,347729476,9.08267,0.04859756,0.04372825,0.320983,0.03697818,03-07-2025 00-49-17
polygon-pos-bridged-dai-polygon-pos,0.999953,347218200,0.01181,1.001,0.99977,1.025,0.957024,03-07-2025 00-49-17
just,0.03461589,342715664,1.88704,0.03472373,0.03371695,0.193254,0.00476275,03-07-2025 00-49-17
wormhole,0.073476,342654784,4.14588,0.075346,0.068381,1.66,0.051583,03-07-2025 00-49-17
sweth,2818.88,342129097,6.55964,2827.86,2617.64,4395.57,1516.13,03-07-2025 00-49-17
olympus,20.43,334895639,1.7682,20.48,19.94,1415.26,7.54,03-07-2025 00-49-17
polygon-bridged-wbtc-polygon-pos,109279.0,334854630,3.23132,109515.0,105298.0,111643.0,49937.0,03-07-2025 00-49-17
sun-token,0.01747889,334671342,1.56429,0.01750329,0.01716534,66.45,0.00462303,03-07-2025 00-49-17
axelar,0.330658,328928465,3.25041,0.333413,0.310575,2.64,0.274681,03-07-2025 00-49-17
polygon-pos-bridged-weth-polygon-pos,2576.76,328780797,6.57178,2583.19,2389.52,4090.99,1390.73,03-07-2025 00-49-17
global-dollar,0.999931,322617992,-0.00816,1.0,0.999747,1.65,0.907561,03-07-2025 00-49-17
grass,1.11,318465551,11.23259,1.15,0.992776,3.89,0.654959,03-07-2025 00-49-17
terra-luna,5.782e-05,315832333,5.93808,5.789e-05,5.403e-05,119.18,9.99967e-07,03-07-2025 00-49-17
frax,0.999083,314192060,0.04296,0.999743,0.998244,1.14,0.874536,03-07-2025 00-49-17
binance-peg-busd,1.001,312942118,0.13368,1.004,0.996303,1.064,0.954278,03-07-2025 00-49-17
frax-ether,2574.5,311031550,6.43297,2583.53,2389.16,4084.25,1137.25,03-07-2025 00-49-17
popcat,0.312647,306585530,15.01257,0.313367,0.271768,2.05,0.00379728,03-07-2025 00-49-17
